"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"12973","Mixed bet hedging",5,0.8785401832,2.03704621656668e+88,"Mixed bet hedging",674,0.1,"Low activity",159,FALSE,-1022,FALSE,186,28,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12974","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",674,0,"Low activity",159,FALSE,-1022,FALSE,186,28,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12975","Other",0,NA,NA,"Other",674,0,"Low activity",159,FALSE,-1022,FALSE,186,28,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12976","Low activity",0,NA,NA,"Low activity",674,0,"Low activity",159,FALSE,-1022,FALSE,186,28,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12977","Error correction",20,0.7543382485,3.11845383708752e+89,"Error correction",675,0.4,"Bet-hedged error correction",160.34,FALSE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12978","Learning",28,0.993677615357143,5.65423273789496e+88,"Learning",675,0.56,"Bet-hedged error correction",160.34,TRUE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12979","Mixed bet hedging",2,0.894526855,1.45139095379427e+89,"Mixed bet hedging",675,0.04,"Bet-hedged error correction",160.34,FALSE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12980","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",675,0,"Bet-hedged error correction",160.34,FALSE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12981","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",675,0,"Bet-hedged error correction",160.34,FALSE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12982","Other",0,NA,NA,"Other",675,0,"Bet-hedged error correction",160.34,FALSE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12983","Low activity",0,NA,NA,"Low activity",675,0,"Bet-hedged error correction",160.34,FALSE,-1021,FALSE,186,29,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12984","Error correction",11,0.757765922727273,5.55556363637714e+87,"Error correction",676,0.22,"Bet-hedged error correction",13241.14,FALSE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12985","Learning",38,0.993981459210526,3.08685872196939e+88,"Learning",676,0.76,"Bet-hedged error correction",13241.14,TRUE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12986","Mixed bet hedging",1,0.95384334,7.90677409543798e+47,"Mixed bet hedging",676,0.02,"Bet-hedged error correction",13241.14,FALSE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12987","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",676,0,"Bet-hedged error correction",13241.14,FALSE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12988","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",676,0,"Bet-hedged error correction",13241.14,FALSE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12989","Other",0,NA,NA,"Other",676,0,"Bet-hedged error correction",13241.14,FALSE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12990","Low activity",0,NA,NA,"Low activity",676,0,"Bet-hedged error correction",13241.14,FALSE,-1020,FALSE,186,30,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12991","Error correction",23,0.759462837826087,1.42851146091294e+88,"Error correction",677,0.46,"Low activity",103.02,FALSE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12992","Learning",27,0.992394963703704,2.02090965961541e+88,"Learning",677,0.54,"Low activity",103.02,TRUE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12993","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",677,0,"Low activity",103.02,FALSE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12994","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",677,0,"Low activity",103.02,FALSE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12995","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",677,0,"Low activity",103.02,FALSE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12996","Other",0,NA,NA,"Other",677,0,"Low activity",103.02,FALSE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12997","Low activity",0,NA,NA,"Low activity",677,0,"Low activity",103.02,FALSE,-1019,FALSE,186,31,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12998","Bet-hedged learning",1,0.99004266,4.77401165428677e+62,"Bet-hedged learning",678,0.02,"Bet-hedged error correction",11048.18,FALSE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"12999","Error correction",17,0.769483338823529,2.75789074338835e+88,"Error correction",678,0.34,"Bet-hedged error correction",11048.18,FALSE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13000","Learning",30,0.994148777,7.12346479350368e+88,"Learning",678,0.6,"Bet-hedged error correction",11048.18,TRUE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13001","Mixed bet hedging",2,0.895783705,6.65089544480072e+45,"Mixed bet hedging",678,0.04,"Bet-hedged error correction",11048.18,FALSE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13002","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",678,0,"Bet-hedged error correction",11048.18,FALSE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13003","Other",0,NA,NA,"Other",678,0,"Bet-hedged error correction",11048.18,FALSE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13004","Low activity",0,NA,NA,"Low activity",678,0,"Bet-hedged error correction",11048.18,FALSE,-1018,FALSE,186,32,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13005","Bet-hedged learning",2,0.86623909465,1.3165322069815e+55,"Bet-hedged learning",679,0.04,"Bet-hedged error correction",504.88,FALSE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13006","Error correction",11,0.749055752727273,8.86534165514926e+80,"Error correction",679,0.22,"Bet-hedged error correction",504.88,FALSE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13007","Learning",36,0.993913003888889,6.10770770075648e+88,"Learning",679,0.72,"Bet-hedged error correction",504.88,TRUE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13008","Mixed bet hedging",1,0.89315004,1.00434000044258e+57,"Mixed bet hedging",679,0.02,"Bet-hedged error correction",504.88,FALSE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13009","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",679,0,"Bet-hedged error correction",504.88,FALSE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13010","Other",0,NA,NA,"Other",679,0,"Bet-hedged error correction",504.88,FALSE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13011","Low activity",0,NA,NA,"Low activity",679,0,"Bet-hedged error correction",504.88,FALSE,-1017,FALSE,186,33,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13012","Error correction",22,0.752297353181818,3.53011467650934e+89,"Error correction",680,0.44,"Low activity",1435.24,FALSE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13013","Learning",27,0.99390077,6.22731794946067e+88,"Learning",680,0.54,"Low activity",1435.24,TRUE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13014","Mixed bet hedging",1,0.89376026,3.68685748700589e+45,"Mixed bet hedging",680,0.02,"Low activity",1435.24,FALSE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13015","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",680,0,"Low activity",1435.24,FALSE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13016","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",680,0,"Low activity",1435.24,FALSE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13017","Other",0,NA,NA,"Other",680,0,"Low activity",1435.24,FALSE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13018","Low activity",0,NA,NA,"Low activity",680,0,"Low activity",1435.24,FALSE,-1016,FALSE,186,34,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13019","Bet-hedged learning",1,0.812315064,4.03896449615394e+79,"Bet-hedged learning",681,0.02,"Bet-hedged error correction",240.78,FALSE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13020","Error correction",21,0.765036991904762,1.60361455276051e+88,"Error correction",681,0.42,"Bet-hedged error correction",240.78,FALSE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13021","Learning",27,0.99420114,2.56390589594836e+88,"Learning",681,0.54,"Bet-hedged error correction",240.78,TRUE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13022","Mixed bet hedging",1,0.99364178,1.77150866255986e+90,"Mixed bet hedging",681,0.02,"Bet-hedged error correction",240.78,FALSE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13023","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",681,0,"Bet-hedged error correction",240.78,FALSE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13024","Other",0,NA,NA,"Other",681,0,"Bet-hedged error correction",240.78,FALSE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13025","Low activity",0,NA,NA,"Low activity",681,0,"Bet-hedged error correction",240.78,FALSE,-1015,FALSE,186,35,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13026","Error correction",15,0.758154602666667,1.38807796609168e+89,"Error correction",682,0.3,"Low activity",1643.32,FALSE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13027","Learning",34,0.993772159411765,4.74280862228478e+88,"Learning",682,0.68,"Low activity",1643.32,TRUE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13028","Mixed bet hedging",1,0.8951836,7.79828085274074e+48,"Mixed bet hedging",682,0.02,"Low activity",1643.32,FALSE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13029","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",682,0,"Low activity",1643.32,FALSE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13030","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",682,0,"Low activity",1643.32,FALSE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13031","Other",0,NA,NA,"Other",682,0,"Low activity",1643.32,FALSE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13032","Low activity",0,NA,NA,"Low activity",682,0,"Low activity",1643.32,FALSE,-1014,FALSE,186,36,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13033","Bet-hedged learning",3,0.9301501226,2.25887241426738e+58,"Bet-hedged learning",683,0.06,"Low activity",700.22,FALSE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13034","Error correction",19,0.753175544210526,7.91781929010371e+88,"Error correction",683,0.38,"Low activity",700.22,FALSE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13035","Learning",27,0.99388468037037,1.75022841977506e+88,"Learning",683,0.54,"Low activity",700.22,TRUE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13036","Mixed bet hedging",1,0.8993589,6.67199454705287e+50,"Mixed bet hedging",683,0.02,"Low activity",700.22,FALSE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13037","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",683,0,"Low activity",700.22,FALSE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13038","Other",0,NA,NA,"Other",683,0,"Low activity",700.22,FALSE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13039","Low activity",0,NA,NA,"Low activity",683,0,"Low activity",700.22,FALSE,-1013,FALSE,186,37,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13040","Bet-hedged learning",1,0.8646731795,1.222224e+89,"Bet-hedged learning",684,0.02,"Bet-hedged error correction",139.98,FALSE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13041","Error correction",20,0.7580674695,2.16862267686972e+89,"Error correction",684,0.4,"Bet-hedged error correction",139.98,FALSE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13042","Learning",27,0.99380350037037,2.48125616453646e+87,"Learning",684,0.54,"Bet-hedged error correction",139.98,TRUE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13043","Mixed bet hedging",2,0.91808816,3.70534545551551e+76,"Mixed bet hedging",684,0.04,"Bet-hedged error correction",139.98,FALSE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13044","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",684,0,"Bet-hedged error correction",139.98,FALSE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13045","Other",0,NA,NA,"Other",684,0,"Bet-hedged error correction",139.98,FALSE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13046","Low activity",0,NA,NA,"Low activity",684,0,"Bet-hedged error correction",139.98,FALSE,-1012,FALSE,186,38,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13047","Bet-hedged learning",1,0.98910434,1.323550536729e+46,"Bet-hedged learning",685,0.02,"Low activity",871.34,FALSE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13048","Error correction",17,0.774301981176471,1.92472334872066e+88,"Error correction",685,0.34,"Low activity",871.34,FALSE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13049","Learning",31,0.993251051290323,7.2282613373811e+87,"Learning",685,0.62,"Low activity",871.34,TRUE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13050","Mixed bet hedging",1,0.89892529,3.45087752048251e+67,"Mixed bet hedging",685,0.02,"Low activity",871.34,FALSE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13051","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",685,0,"Low activity",871.34,FALSE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13052","Other",0,NA,NA,"Other",685,0,"Low activity",871.34,FALSE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13053","Low activity",0,NA,NA,"Low activity",685,0,"Low activity",871.34,FALSE,-1011,FALSE,186,39,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13054","Bet-hedged learning",1,0.899446532,2.433275320006e+51,"Bet-hedged learning",686,0.02,"Error correction",2995609033991.1,FALSE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13055","Error correction",11,0.768359075454545,3.65126744729622e+89,"Error correction",686,0.22,"Error correction",2995609033991.1,FALSE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13056","Learning",38,0.993600310263158,1.31909611775452e+88,"Learning",686,0.76,"Error correction",2995609033991.1,TRUE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13057","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",686,0,"Error correction",2995609033991.1,FALSE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13058","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",686,0,"Error correction",2995609033991.1,FALSE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13059","Other",0,NA,NA,"Other",686,0,"Error correction",2995609033991.1,FALSE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13060","Low activity",0,NA,NA,"Low activity",686,0,"Error correction",2995609033991.1,FALSE,-1010,FALSE,186,40,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13061","Bet-hedged error correction",2,0.79956307,1.1189911771363e+85,"Bet-hedged error correction",687,0.04,"Error correction",18596248328294.6,FALSE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13062","Bet-hedged learning",1,0.98959928,9.411068734e+42,"Bet-hedged learning",687,0.02,"Error correction",18596248328294.6,FALSE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13063","Error correction",9,0.784374452222222,1.0797874293661e+81,"Error correction",687,0.18,"Error correction",18596248328294.6,FALSE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13064","Learning",38,0.993100087894737,1.85781776449707e+88,"Learning",687,0.76,"Error correction",18596248328294.6,TRUE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13065","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",687,0,"Error correction",18596248328294.6,FALSE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13066","Other",0,NA,NA,"Other",687,0,"Error correction",18596248328294.6,FALSE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13067","Low activity",0,NA,NA,"Low activity",687,0,"Error correction",18596248328294.6,FALSE,-1009,FALSE,186,41,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13068","Error correction",10,0.749859606,2.45255931407441e+80,"Error correction",688,0.2,"Error correction",39788402856164,FALSE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13069","Learning",38,0.993491529473684,9.44576480863034e+88,"Learning",688,0.76,"Error correction",39788402856164,TRUE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13070","Mixed bet hedging",2,0.898700215,1.12098122170035e+89,"Mixed bet hedging",688,0.04,"Error correction",39788402856164,FALSE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13071","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",688,0,"Error correction",39788402856164,FALSE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13072","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",688,0,"Error correction",39788402856164,FALSE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13073","Other",0,NA,NA,"Other",688,0,"Error correction",39788402856164,FALSE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13074","Low activity",0,NA,NA,"Low activity",688,0,"Error correction",39788402856164,FALSE,-1008,FALSE,186,42,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13075","Bet-hedged learning",3,0.9138093474,5.74306079950219e+63,"Bet-hedged learning",689,0.06,"Error correction",6064688615278.46,FALSE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13076","Error correction",8,0.74909070875,2.06490990204996e+60,"Error correction",689,0.16,"Error correction",6064688615278.46,FALSE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13077","Learning",37,0.994345621891892,2.17740386786331e+89,"Learning",689,0.74,"Error correction",6064688615278.46,TRUE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13078","Mixed bet hedging",2,0.941237325,1.63595394215094e+58,"Mixed bet hedging",689,0.04,"Error correction",6064688615278.46,FALSE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13079","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",689,0,"Error correction",6064688615278.46,FALSE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13080","Other",0,NA,NA,"Other",689,0,"Error correction",6064688615278.46,FALSE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13081","Low activity",0,NA,NA,"Low activity",689,0,"Error correction",6064688615278.46,FALSE,-1007,FALSE,186,43,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13082","Error correction",7,0.764191728571429,2.01260940900466e+39,"Error correction",690,0.14,"Error correction",390590773293.62,FALSE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13083","Learning",43,0.993737852325581,3.70469600592646e+88,"Learning",690,0.86,"Error correction",390590773293.62,TRUE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13084","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",690,0,"Error correction",390590773293.62,FALSE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13085","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",690,0,"Error correction",390590773293.62,FALSE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13086","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",690,0,"Error correction",390590773293.62,FALSE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13087","Other",0,NA,NA,"Other",690,0,"Error correction",390590773293.62,FALSE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13088","Low activity",0,NA,NA,"Low activity",690,0,"Error correction",390590773293.62,FALSE,-1006,FALSE,186,44,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13089","Error correction",16,0.76171473,2.32168122887119e+89,"Error correction",691,0.32,"Error correction",52025923043646.8,FALSE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13090","Learning",34,0.993819036176471,1.91946010174368e+88,"Learning",691,0.68,"Error correction",52025923043646.8,TRUE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13091","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",691,0,"Error correction",52025923043646.8,FALSE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13092","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",691,0,"Error correction",52025923043646.8,FALSE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13093","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",691,0,"Error correction",52025923043646.8,FALSE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13094","Other",0,NA,NA,"Other",691,0,"Error correction",52025923043646.8,FALSE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13095","Low activity",0,NA,NA,"Low activity",691,0,"Error correction",52025923043646.8,FALSE,-1005,FALSE,186,45,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13096","Bet-hedged learning",1,0.99109335,5.730654538676e+42,"Bet-hedged learning",692,0.02,"Error correction",169680257389.86,FALSE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13097","Error correction",6,0.763746678333333,3.69286265367482e+89,"Error correction",692,0.12,"Error correction",169680257389.86,FALSE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13098","Learning",43,0.994034128139535,6.0845183470618e+88,"Learning",692,0.86,"Error correction",169680257389.86,TRUE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13099","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",692,0,"Error correction",169680257389.86,FALSE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13100","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",692,0,"Error correction",169680257389.86,FALSE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13101","Other",0,NA,NA,"Other",692,0,"Error correction",169680257389.86,FALSE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13102","Low activity",0,NA,NA,"Low activity",692,0,"Error correction",169680257389.86,FALSE,-1004,FALSE,186,46,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13103","Error correction",11,0.759207679090909,3.82126206230711e+87,"Error correction",693,0.22,"Error correction",186157052509115,FALSE,-1003,FALSE,186,47,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13104","Learning",36,0.992624695277778,8.72836983671724e+87,"Learning",693,0.72,"Error correction",186157052509115,TRUE,-1003,FALSE,186,47,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
"13105","Mixed bet hedging",3,0.904753756666667,6.33208114915237e+89,"Mixed bet hedging",693,0.06,"Error correction",186157052509115,FALSE,-1003,FALSE,186,47,FALSE,FALSE,"../../2023_05_25_01__seeds_2000_2499",2686
