"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"465","6",100,0.84932768,0.876847,0.826923,661536642708300032,5.88359e+19,1.29943e+12,5.3743e+14,219.21,291,176,33.12,45,25,186.09,247,150,33.12,45,25,33.12,45,25,0,0,0,98,"Error correction","Error correction"
"466","6",100,0.84513008,0.871212,0.820084,1.1988611265869e+21,5.94091e+22,2.20131e+14,2.58763e+18,271.94,324,213,42.13,50,33,229.78,279,180,42.16,50,33,42.13,50,33,0,0,0,98,"Error correction","Error correction"
"467","6",100,0.84230733,0.865306,0.822835,4.592978264374e+19,1.33777e+21,4.29944e+14,1.32487e+18,270.74,311,216,42.76,51,33,227.95,264,183,42.79,51,33,42.76,51,33,0,0,0,97,"Error correction","Error correction"
"468","6",100,0.84406821,0.869565,0.818182,2.1546001443028e+20,6.379e+21,3.43955e+14,1.65608e+18,271.52,315,215,42.38,52,33,229.11,269,182,42.41,52,33,42.38,52,33,0,0,0,98,"Error correction","Error correction"
"469","6",100,0.84344796,0.866142,0.822917,9.344122050694e+19,6.379e+21,2.75164e+14,2.58763e+18,271.55,314,215,42.57,51,33,228.95,269,182,42.6,51,33,42.57,51,33,0,0,0,98,"Error correction","Error correction"
"470","6",100,0.84324325,0.865724,0.82197,5.59427730731778e+21,4.42632e+23,6.71788e+14,3.23454e+18,277.55,333,218,43.49,51,33,234.05,288,185,43.5,51,33,43.49,51,33,0,0,0,98,"Error correction","Error correction"
"471","6",100,0.84323129,0.869718,0.820896,8.439982187509e+19,1.33777e+21,1.40884e+14,1.05989e+18,270.66,315,211,42.51,52,33,228.14,266,178,42.52,52,33,42.51,52,33,0,0,0,98,"Error correction","Error correction"
"472","6",100,0.84326264,0.872852,0.819328,1.85782088936943e+21,1.81302e+23,3.43955e+14,6.10499e+17,266.88,323,217,41.87,52,33,224.98,281,183,41.9,52,33,41.87,52,33,0,0,0,99,"Error correction","Error correction"
"473","6",100,0.84414576,0.870968,0.823322,1.9230835268572e+20,3.26605e+21,4.29944e+14,2.58763e+18,273.83,315,218,42.72,51,33,231.07,268,184,42.76,51,33,42.72,51,33,0,0,0,99,"Error correction","Error correction"
"474","6",100,0.84463366,0.865385,0.819444,2.9228716042858e+20,1.94672e+22,6.71788e+14,1.863095e+18,270.7,319,218,42.09,52,33,228.58,274,185,42.12,52,33,42.09,52,33,0,0,0,99,"Error correction","Error correction"
"475","6",100,0.84339348,0.87541,0.819923,2.9257140656695e+20,1.94672e+22,8.39735e+14,1.19238e+18,271.39,313,219,42.54,50,33,228.83,268,186,42.56,50,33,42.54,50,33,0,0,0,100,"Error correction","Error correction"
"476","6",100,0.84373251,0.873077,0.821561,2.78836872578426e+20,1.55737e+22,7.21326e+13,7.631235e+17,267.18,316,210,41.76,50,33,225.39,272,176,41.79,50,33,41.76,50,33,0,0,0,100,"Error correction","Error correction"
"477","6",100,0.84386573,0.865854,0.819853,7.574478125798e+19,1.67222e+21,6.71788e+14,7.631235e+17,270.61,310,222,42.28,49,33,228.29,264,187,42.32,49,33,42.28,49,33,0,0,0,100,"Error correction","Error correction"
"478","6",100,0.84383504,0.873563,0.819231,9.5864153918523e+20,5.94091e+22,1.76105e+14,1.490475e+18,270.61,320,212,42.26,50,33,228.31,277,179,42.3,50,33,42.26,50,33,0,0,0,100,"Error correction","Error correction"
"479","6",100,0.8443611,0.865854,0.819788,3.13028053681826e+20,2.4334e+22,7.21326e+13,8.47915e+17,268.88,318,212,41.86,50,33,226.94,274,177,41.94,51,33,41.86,50,33,0,0,0,99,"Error correction","Error correction"
"480","6",100,0.84616965,0.869565,0.826389,1.06901053877e+18,3.0124e+19,2.36364e+13,7.82064e+15,238.73,288,197,36.75,50,30,201.98,242,167,36.75,50,30,36.75,50,30,0,0,0,99,"Error correction","Error correction"
"481","6",100,0.84833891,0.875,0.825,9.632910683674e+18,6.8494e+20,2.95455e+13,1.099775e+16,239.25,292,200,36.27,49,30,202.98,251,169,36.27,49,30,36.27,49,30,0,0,0,98,"Error correction","Error correction"
"482","6",100,0.84950519,0.87218,0.825112,1.284938444557e+18,3.7655e+19,5.77061e+13,9.7758e+15,237.03,286,206,35.65,45,30,201.38,243,175,35.65,45,30,35.65,45,30,0,0,0,98,"Error correction","Error correction"
"483","6",100,0.84698148,0.868996,0.817757,5.51682062611e+17,2.40992e+19,1.21018e+13,6.25651e+15,232.55,287,202,35.58,44,30,196.97,243,169,35.58,44,30,35.58,44,30,0,0,0,99,"Error correction","Error correction"
"484","6",100,0.84828372,0.868794,0.82243,6.201421155614e+18,3.50689e+20,2.95455e+13,7.82064e+15,237.61,309,206,36.02,48,30,201.58,260,175,36.03,49,30,36.02,48,30,0,0,0,99,"Error correction","Error correction"
"485","6",100,0.8477457,0.870293,0.820144,3.2816329559835e+19,3.26605e+21,3.69319e+13,1.099775e+16,236.66,315,200,36.05,50,30,200.61,268,170,36.05,50,30,36.05,50,30,0,0,0,99,"Error correction","Error correction"
"486","6",100,0.84504347,0.868098,0.819444,2.55266372470068e+21,2.26628e+23,4.29944e+14,1.05989e+18,270.11,326,216,41.9,52,33,228.2,283,183,41.91,52,33,41.9,52,33,0,0,0,99,"Error correction","Error correction"
