genome,merit,merit_given,gen, seed
"[78]oDADgHIthvzDiuvHswfHHHDugKkIIIubbzyuIuoFKgbIGmBIEGjCkdjguvncsyiohpIgkKgBykHDKj",8192,8192,5240, 232
"[82]khxcHmhyGlIhHulcGhHvllHLgBzHKHJcqEFHiHnJnFHKLEGqcJnkDeoCmtICGaaIxqcuzzbqgkmaxxDezK",32768,32768,4227, 233
"[99]rCCaqnghlzkLcJvtsHnirycGIkyHFaHknudeatxjAacjCfHakLaKxahbgfzymGjuzHxHjdtJfHxauLBmjbLclsllrnHJHHHeovG",2048,128,4212, 234
"[49]HIesHsFwHAhGaHHKtxIohbIIoiIwkrByKeueDItIGElqfrBvC",1024,0,4384, 235
"[98]pvHlilIDtHjHpabyBiciersilbgEkkHDjGthLmGenxcFwqkJuEbkiKvowEKEzoEglbagLHFBhBepKHJEGqEqCsABBagADkgkoo",1024,1024,2182, 236
"[76]HBHbbeGiHHkAiIwzwIDwgvtAFGwzwIlEIsBlJHuHKHHEtHnAwHjblyiJvHbArmkAhHurGCqnKevp",2048,2048,4493, 237
"[75]xlGqFyyDKgteHxGAjAyodDgejIyHHfrHAKBcDtdHGHJHtHyJBsGHfnpEdlcDioDLKcHsuyGqwFx",131072,0,3243, 238
"[76]HIglhvHtvwqbmxqodBevtoBbxhKjEAHHEnyJGEAausbvyGjlGBqqHgDHgjjEpdkCCirjreasInkl",2048,2048,3704, 239
"[89]qpDxvauwkmlLadzubGvEcHhwGfyspBewEthDuhrLrKfzaAfGherkspeCJwmJpBuBxnofwxvIgBpiLBHoamoLlxeLG",32,32,2633, 24
"[77]oxhcGqvnbzxeqLfiffHyhogsjjFuLsnIHmHvcnnvnHkpEjHxpqFbKunHIetIInlIFItcDwlKcIfiI",16384,0,3769, 240
"[47]gLdmEHxAlGovgIyEcnknHHHJHHjstwqlnuaKpgLBcGqIpgI",512,512,3674, 241
