genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[86]qyBSbHQyOINSbyzLBwpPcHjebaiaeLRKNCRbqPsOjzPGsExcNPIsJlJDuguaGoKNkiEqPqKjuepCwNQDmCJedu",5.31691e+36,1.03846e+34,89,123,1,3, 192
"[88]xygDlSbHSOIGPcczPOLBwiHPcxjebaihyLRKNCRbqmdOwynGxExwPIAJJDygraGDKIkQwudbKjuycLOwzwexLLju",8.50706e+37,1.03846e+34,119,127,1,1, 193
"[86]gSRechHQyIGvaNHnlLBwwHQQQjebOkaeLRKNCRbqQcDpuNgExcPGPIJJDQenJMaOKzvHOriBhPSoaeDOyQACou",1.70141e+38,1.03846e+34,340,128,1,1, 194
"[85]RygSsHonOwIqlcygLBwwHPcepbaiaeLRKNCRbqwbOgxPGcExczPIzJJDkgmwGGDxLkQDFSEDjpeFwNmIJtJAu",2.12676e+37,1.03846e+34,133,125,1,3, 195
"[84]qygwAqHuOInvjytLBwHPcNopbfmaeLRKNCObqPbOpepSExPGPIyJkJDuOhaznKLDJDyPsjuepbxpDmbJtxNy",2.12676e+37,6.49037e+32,135,125,1,3, 196
"[86]qgzSbHapuIeyccHuLBwwHPcDjebaiaaLRKNCRbqPdOwoGsExcPInJlJDKnuaizKLbkFqPbMpuePbsLIiMgOfdt",4.25353e+37,1.03846e+34,102,126,1,1, 197
"[86]qPgzSEHutkINAcyuLBwwHPcojBbaieeLRKNCRqPkOQOQGsExNGPIAJlJDuguahHrvkyqiPbsjuFbwNomAnrklu",8.30767e+34,6.49037e+32,43,117,1,3, 198
"[86]aylzbHihOQNsNiLhbjILBwwHccNeebmiaeLRKNCRqPpmwuNsExoGPIeJJDBgKOCDgxtjqgPELbuicbNsMrhuwB",2.12676e+37,6.49037e+32,162,125,1,3, 199
"[87]qdgExHorRINSLonLBFwHPcIjelaOaeLRKNCRbqPblQBnsExoGPIxJbJDpjuaQeKLctPNkLvtCKCIvxmDKnOFwSu",4.25353e+37,1.03846e+34,152,126,1,1, 2
"[87]qfgzSbmutMBIfSlcgbLBbwHPdkjQnkikeLRKNCRdqPcwOxNsEoGPIAJFJDugeauDfLkxqPicjuevpwNKdIhhDdi",4.25353e+37,5.1923e+33,108,127,2,1, 20
"[91]NygzQlFHcQgOIDccyuLBwiHPcNjepaiaeLRKNCRbqPkOnxucxExoGPImJmJDgodDxrJyvpnIdKjxOeHinEDkdasmxdu",8.50706e+37,1.03846e+34,119,127,1,1, 200
"[88]qygzSuHNctOINSPcyuLBwiHPcCjebaiaeLRKNCRbqAkdOpGsExFFPIkJdJDIfaGDwskJjcPLJjuQalrNDMMJhxJu",4.25353e+37,1.03846e+34,88,127,2,3, 21
"[90]RCgzSadmMONPSccytLBwwHPcSjpbaiaeLRKNCRbqPkohpursExnoGPIAJlJDugNIGEBaFqqOOnPumKbdaDoQuhfdpu",1.06338e+37,5.1923e+33,85,124,1,3, 22
"[88]ofzSbHwtOINSccpuLBwwHPcNjebaiaeLRKNCRbqPxOQOudsExcfPIcJlJDuguaGDnwkcjqPsKjoeKvwNDmMJhxdu",2.65846e+36,8.11296e+31,37,128,7,1, 23
"[89]DcgzSbHtbAIpAvcysLBwwHPcNjebaiBeLRKNCRbqPkOoOujsEsPGPIFJFJDgubFGDKukQqSPbKigaSbwtDRMJhkto",8.50706e+37,1.03846e+34,70,127,1,1, 24
"[94]qygBSbwHAhtOINcmbulLBnwHkiRjabaiBaeLRKNCRbqLAcOwOeOMExoGPIJxJDHsbajJiLkmBkGMaKMIukbLoyrKhhxpdh",4.25353e+37,1.03846e+34,142,126,1,1, 25
"[89]qyoztfHutiINSANcwAuLBzwHPcNjebaiaeLRKNCRbqPdONuGsExccPIAJlJDSquLGRILkQqgPhKrnwKbNDkMJhxdr",1.03846e+34,1.62259e+32,78,114,1,0, 26
"[86]cgSOHuROIEScciwLBtwHocrebaiaeLRKNCRbqPkOMONsEvoGPItJRltJDugcRrDnyPqqPbzjuJdbwgGmeCbdeu",5.31691e+36,6.49037e+32,129,123,1,1, 27
"[90]quBrSmHutBIfSFcsrLBwwHPcNrebaiaeLRKNCRbqPkOFOohsExcbPIAJlJDIguaFhKeLRqqqbseGDKHwwDjmdbtxir",1.06338e+37,1.03846e+34,87,127,4,3, 28
